Team	Hero	Name	Set	Split	Name_S	T0	C	Ct	B	R	G	Y	S	Br	Rr	Gr	Yr	Sr	SP	MO	FI	Drw	Dsc	Top	Bs	Wd	Cty	NR	C2	C4	CD	SK	LS	LT	TE	Pierc	HM	KO	KBS	AF	Vil	MF	VS	DC	SRD	FHQ	SHL	XTR	file	loc	id	uni	keywords
X-Men	Wolverine	Berserker rage	B				8	1				1					1				1	1																											base2,jpg	2 6	Wolverine (B)	Wolverine (B)	""
X-Men	X-23	Adm foot claws	XM				3	5					1				1				1	1																											xmen3,jpg	1 6	X-23 (XM)	X-23 (XM)	""
X-Men	X-23	Healing factor genome	XM				4	5				1									1			-1		-1																							xmen3,jpg	4 6	X-23 (XM)	X-23 (XM)	""
X-Men	X-23	Bioeng assassin	XM				6	3		1							1				1			-1														1											xmen3,jpg	9 5	X-23 (XM)	X-23 (XM)	""
X-Men	X-23	Heir to wolverine	XM				7	1				1					2				1			-1																									xmen3,jpg	8 5	X-23 (XM)	X-23 (XM)	""
Fantastic Four	Thing	Started on Yancy Str	FF				3	5				1								1															1														ff,jpg	4 1	Thing (FF)	Thing (FF)	""
Fantastic Four	Thing	Knuckle sandwich	FF				5	5			1									1	1																											Focus	ff,jpg	5 1	Thing (FF)	Thing (FF)	""
Fantastic Four	Thing	Crime Stopper	FF				6	3			1										1				1		1																						ff,jpg	3 1	Thing (FF)	Thing (FF)	""
Fantastic Four	Thing	Clobberin time	FF				8	1			1					2					1																												ff,jpg	2 1	Thing (FF)	Thing (FF)	""
Fantastic Four	Mr. Fantastic	Twisting equations	FF				3	5					1							1																												draw extra for new hand	pttr,jpg	7 5	Mr. Fantastic (FF)	Mr. Fantastic (FF)	""
Fantastic Four	Mr. Fantastic	Unstable molecules	FF				5	5					1									1																											pttr,jpg	6 5	Mr. Fantastic (FF)	Mr. Fantastic (FF)	""
Fantastic Four	Mr. Fantastic	One gigantic hand	FF				5	3				1									1	-1													1														pttr,jpg	8 5	Mr. Fantastic (FF)	Mr. Fantastic (FF)	""
Fantastic Four	Mr. Fantastic	Ultimate nullifier	FF				7	1					1								1																											Focus, cancel fight effects	pttr,jpg	5 5	Mr. Fantastic (FF)	Mr. Fantastic (FF)	""
Fantastic Four	Invisible Woman	Disappearing act	FF				4	5		1										1																		1										Focus	pttr,jpg	1 6	Invisible Woman (FF)	Invisible Woman (FF)	""
Fantastic Four	Invisible Woman	Four of a kind	FF				4	5	1												1									1																			pttr,jpg	10 5	Invisible Woman (FF)	Invisible Woman (FF)	""
Fantastic Four	Invisible Woman	Unseen rescue	FF				4	3		1											1				1																							Focus	pttr,jpg	2 6	Invisible Woman (FF)	Invisible Woman (FF)	""
Fantastic Four	Invisible Woman	Invisible barrier	FF				7	1		1											1																											Cancel ambush effects	pttr,jpg	9 5	Invisible Woman (FF)	Invisible Woman (FF)	""
Fantastic Four	Human Torch	Hothead	FF				4	5	1												1					1																							ff,jpg	7 1	Human Torch (FF)	Human Torch (FF)	""
Fantastic Four	Human Torch	Call for backup	FF				3	5				1								1						-1																							ff,jpg	9 1	Human Torch (FF)	Human Torch (FF)	""
Fantastic Four	Human Torch	Flame on	FF				6	3	1												1																											Focus	ff,jpg	6 1	Human Torch (FF)	Human Torch (FF)	""
Fantastic Four	Human Torch	Nova Flame	FF				8	1	1												1														1														ff,jpg	8 1	Human Torch (FF)	Human Torch (FF)	""
X-Men	Angel	High-speed chase	DC				3	5		1												1	1																										ff,jpg	9 2	Angel (DC)	Angel (DC)	""
X-Men	Angel	Diving Catch	DC				4	5			1									1		1	-1		1																								ff,jpg	10 2	Angel (DC)	Angel (DC)	""
X-Men	Angel	Drop of a friend	DC				5	3				1									1		1																										ff,jpg	8 2	Angel (DC)	Angel (DC)	""
X-Men	Angel	Strength of Spirit	DC				7	1			1										1	1	1																										ff,jpg	1 3	Angel (DC)	Angel (DC)	""
X-Men	Angel Noir	Impetuous Dive	N		Angel		3	5				1					1				1																												noir,jpg	7 2	Angel Noir (N)	Angel Noir (N)	""
X-Men	Angel Noir	Multitalented	N		Angel		4	5			1									1	1	1		-1																									noir,jpg	9 2	Angel Noir (N)	Angel Noir (N)	""
X-Men	Angel Noir	Identical twin brother	N		Angel		5	3				1								1	1																					1						Filter HQ	noir,jpg	10 2	Angel Noir (N)	Angel Noir (N)	""
X-Men	Angel Noir	Missing person case	N		Angel		8	1		1											1																											Free heroes!	noir,jpg	8 2	Angel Noir (N)	Angel Noir (N)	""
X-Men	Apocalyptic Kitty Pryde	Phase-out	SW1				4	5		1					1						1																	1											sw12,jpg	4 5	Apocalyptic Kitty Pryde (SW1)	Apocalyptic Kitty Pryde (SW1)	""
X-Men	Apocalyptic Kitty Pryde	Infiltrate HQ	SW1				3	5					1							1																												Filter HQ	sw12,jpg	3 5	Apocalyptic Kitty Pryde (SW1)	Apocalyptic Kitty Pryde (SW1)	""
X-Men	Apocalyptic Kitty Pryde	Disrupt Circuits	SW1				5	3		1			1					1			1																												sw12,jpg	2 5	Apocalyptic Kitty Pryde (SW1)	Apocalyptic Kitty Pryde (SW1)	""
X-Men	Apocalyptic Kitty Pryde	Untouchable	SW1				7	1		1										1																												Cancel fight effects	sw12,jpg	1 5	Apocalyptic Kitty Pryde (SW1)	Apocalyptic Kitty Pryde (SW1)	""
X-Men	Aurora & Northstar	Northern lights	XM				3	5		1											1												1																xmen,jpg	6 1	Aurora & Northstar (XM)	Aurora & Northstar (XM)	""
X-Men	Aurora & Northstar	Blazing Flare	XM	1	Aurora		4	5	1											1													1																xmen,jpg	4 1	Aurora & Northstar (XM)	Aurora & Northstar (XM)	""
X-Men	Aurora & Northstar	Blazing Fists	XM	1	Northstar		4	5			1										1			-1																									xmen,jpg	4 1	Aurora & Northstar (XM)	Aurora & Northstar (XM)	""
X-Men	Aurora & Northstar	Twin Blast	XM				5	3	1												1												1																xmen,jpg	5 1	Aurora & Northstar (XM)	Aurora & Northstar (XM)	""
X-Men	Aurora & Northstar	Mach 10	XM				7	1				1								1	1												2																xmen,jpg	3 1	Aurora & Northstar (XM)	Aurora & Northstar (XM)	""
X-Men	Banshee	Sonar detection	XM				2	5		1					1							1														1													xmen3,jpg	5 4	Banshee (XM)	Banshee (XM)	""
X-Men	Banshee	Speed of sound	XM				3	5	1																											1												Soaring Flight	xmen3,jpg	2 4	Banshee (XM)	Banshee (XM)	""
X-Men	Banshee	Sonic blast wave	XM				5	3	1					1						1																1													xmen3,jpg	3 4	Banshee (XM)	Banshee (XM)	""
X-Men	Banshee	Bone-shattering howl	XM				8	1	1					1	1																					1												Use FI as Pierc	xmen3,jpg	8 4	Banshee (XM)	Banshee (XM)	""
X-Men	Beast	Furry fury	XM				4	5			1					1					1			-1																									xmen3,jpg	3 7	Beast (XM)	Beast (XM)	""
X-Men	Beast	Captiv Conundrum	XM				2	5					1					1			1	1																											xmen3,jpg	10 6	Beast (XM)	Beast (XM)	""
X-Men	Beast	Calculcated rage	XM				5	3					1								1			1																									xmen3,jpg	8 6	Beast (XM)	Beast (XM)	""
X-Men	Beast	Recursive pummeling	XM				8	1					1								1			-1					-1						1														xmen3,jpg	7 6	Beast (XM)	Beast (XM)	""
X-Men	Bishop	Whatever the cost	DC				2	5	1						1							1																1											ff,jpg	3 3	Bishop (DC)	Bishop (DC)	""
X-Men	Bishop	Absorb energies	DC				3	5		1										1	1																	-1											ff,jpg	4 3	Bishop (DC)	Bishop (DC)	""
X-Men	Bishop	Concussive blast	DC				5	3	1					2							1																												ff,jpg	5 3	Bishop (DC)	Bishop (DC)	""
X-Men	Bishop	Firepower ft future!	DC				7	1					1								1		-1	-1											1			1											ff,jpg	2 3	Bishop (DC)	Bishop (DC)	""
X-Men	Cannonball	Kinetic blast field	XM				3	5				1					1				1																											Soaring Flight	xmen,jpg	10 1	Cannonball (XM)	Cannonball (XM)	""
X-Men	Cannonball	Carry to the air	XM				4	5			1					1				1																												Soaring Flight	xmen,jpg	8 1	Cannonball (XM)	Cannonball (XM)	""
X-Men	Cannonball	Natural leader	XM				6	3			1					1					1														1													Soaring Flight	xmen,jpg	9 1	Cannonball (XM)	Cannonball (XM)	""
X-Men	Cannonball	Human cannon	XM				8	1			1										1	-1																										Soaring Flight	xmen,jpg	7 1	Cannonball (XM)	Cannonball (XM)	""
X-Men	Colossus & Wolverine	Reliable	XM	2	Colossus		3	5			1									1								1																					xmen3,jpg	7 4	Colossus & Wolverine (XM)	Colossus & Wolverine (XM)	""
X-Men	Colossus & Wolverine	Unpredictable	XM	2	Wolverine		3	5				1									1			-1																									xmen3,jpg	7 4	Colossus & Wolverine (XM)	Colossus & Wolverine (XM)	""
X-Men	Colossus & Wolverine	Fastball special	XM				4	5			1						1				1			-1																								Soaring Flight	xmen3,jpg	9 4	Colossus & Wolverine (XM)	Colossus & Wolverine (XM)	""
X-Men	Colossus & Wolverine	Insane disregard	XM				6	3				1									1			-1		1																							xmen3,jpg	4 4	Colossus & Wolverine (XM)	Colossus & Wolverine (XM)	""
X-Men	Colossus & Wolverine	Uncanny X-Men	XM				7	1			1										1			-1											2														xmen3,jpg	6 4	Colossus & Wolverine (XM)	Colossus & Wolverine (XM)	""
X-Men	Cyclops	Determination	B				2	5			1									1			1																										base,jpg	8 3	Cyclops (B)	Cyclops (B)	""
X-Men	Cyclops	Optic blast	B				3	5	1												1		1																										base,jpg	9 3	Cyclops (B)	Cyclops (B)	""
X-Men	Cyclops	Unending energy	B				6	3	1												1		-1																										base,jpg	10 3	Cyclops (B)	Cyclops (B)	""
X-Men	Cyclops	X-Men united	B				8	1	1												1														2														base,jpg	7 3	Cyclops (B)	Cyclops (B)	""
X-Men	Dazzler	Conv sound to light	XM				3	5				1								1													2			2													xmen3,jpg	1 5	Dazzler (XM)	Dazzler (XM)	""
X-Men	Dazzler	Dazzling glamour	XM				4	5	1												1												1																xmen3,jpg	3 5	Dazzler (XM)	Dazzler (XM)	""
X-Men	Dazzler	Citywide concert	XM				5	3					1								1												1																xmen3,jpg	6 5	Dazzler (XM)	Dazzler (XM)	""
X-Men	Dazzler	Inspire the world	XM				7	1	1												1												1																xmen3,jpg	10 4	Dazzler (XM)	Dazzler (XM)	""
X-Men	Emma Frost	Shadowed thoughts	B				4	5		1					1						1																				-1							Play extra villains	base,jpg	2 4	Emma Frost (B)	Emma Frost (B)	""
X-Men	Emma Frost	Mental discipline	B				3	5	1											1		1																											base,jpg	3 4	Emma Frost (B)	Emma Frost (B)	""
X-Men	Emma Frost	Psychic Link	B				5	3				1									1	1													1														base,jpg	1 4	Emma Frost (B)	Emma Frost (B)	""
X-Men	Emma Frost	Diamond form	B				7	1			1										1																												base,jpg	4 4	Emma Frost (B)	Emma Frost (B)	""
X-Men	Gambit	Stack the deck	B				2	5		1												1		1																									base,jpg	1 5	Gambit (B)	Gambit (B)	""
X-Men	Gambit	Card shark	B				4	5	1												1			-1											1														base,jpg	10 4	Gambit (B)	Gambit (B)	""
X-Men	Gambit	Hypnotic Charm	B				3	3				1					1			1				1																									base,jpg	2 5	Gambit (B)	Gambit (B)	""
X-Men	Gambit	High stakes jackpot	B				7	1				1									1			-1																									base,jpg	9 4	Gambit (B)	Gambit (B)	""
X-Men	Havok	Blinding burst	XM				3	5	1											1	1												1																xmen3,jpg	6 3	Havok (XM)	Havok (XM)	""
X-Men	Havok	Unleash havok	XM				4	5	1												1		1	-1																									xmen3,jpg	9 3	Havok (XM)	Havok (XM)	""
X-Men	Havok	Concussive plasma	XM				5	3	1					2							1																												xmen3,jpg	4 3	Havok (XM)	Havok (XM)	""
X-Men	Havok	Radiation focus array	XM				7	1					1	2							1			-1																									xmen3,jpg	3 3	Havok (XM)	Havok (XM)	""
X-Men	Iceman	Deep Freeze	DC				2	5	1					2						1		1																											ff,jpg	9 7	Iceman (DC)	Iceman (DC)	""
X-Men	Iceman	Ice Slide	DC				4	5	1					2							1																												ff,jpg	8 7	Iceman (DC)	Iceman (DC)	""
X-Men	Iceman	Frost-Spike armor	DC				5	3			1			2							1	1																											darkcity,jpg	1 1	Iceman (DC)	Iceman (DC)	""
X-Men	Iceman	Impenetrable ice wall	DC				8	1	1												1																											Prevents wounds	ff,jpg	7 7	Iceman (DC)	Iceman (DC)	""
X-Men	Jean Grey	Psychich search	DC				3	5	1												1				1										1														darkcity,jpg	2 1	Jean Grey (DC)	Jean Grey (DC)	""
X-Men	Jean Grey	Read yer thoughts	DC				5	5		1										1					-1																								darkcity,jpg	3 1	Jean Grey (DC)	Jean Grey (DC)	""
X-Men	Jean Grey	Mind over matter	DC				6	3		1											1	1			-1																								darkcity,jpg	4 1	Jean Grey (DC)	Jean Grey (DC)	""
X-Men	Jean Grey	Telekinetic mastery	DC				7	1	1												1				-1										2														darkcity,jpg	5 1	Jean Grey (DC)	Jean Grey (DC)	""
X-Men	Jubilee	Blasting fireworks	XM				4	5	1												1	1											2																xmen3,jpg	9 6	Jubilee (XM)	Jubilee (XM)	""
X-Men	Jubilee	Light a spark	XM				2	5		1										1		1											2																xmen3,jpg	4 7	Jubilee (XM)	Jubilee (XM)	""
X-Men	Jubilee	Unexpected explosions	XM				5	3				1									1			1									1					1											xmen3,jpg	1 7	Jubilee (XM)	Jubilee (XM)	""
X-Men	Jubilee	Prismatic cascade	XM				7	1		1										1	1												2																xmen3,jpg	2 7	Jubilee (XM)	Jubilee (XM)	""
X-Men	Kitty Pryde	Intangible qualities	XM				3	5				1								1	1																					1						Filter HQ	xmen3,jpg	10 5	Kitty Pryde (XM)	Kitty Pryde (XM)	""
X-Men	Kitty Pryde	Going through a phase	XM				4	5		1										1	1	1													1														xmen3,jpg	5 6	Kitty Pryde (XM)	Kitty Pryde (XM)	""
X-Men	Kitty Pryde	Ghost in the machine	XM				6	3					1								1										2																		xmen3,jpg	3 6	Kitty Pryde (XM)	Kitty Pryde (XM)	""
X-Men	Kitty Pryde	Lockheed	XM				8	1	1												1																											Big hero in HQ	xmen3,jpg	2 6	Kitty Pryde (XM)	Kitty Pryde (XM)	""
X-Men	Legion	Split personality	XM	3			3	5					1								1							1																					xmen3,jpg	8 7	Legion (XM)	Legion (XM)	""
X-Men	Legion	Split eardrums	XM	3			3	5	1																											1													xmen3,jpg	8 7	Legion (XM)	Legion (XM)	""
X-Men	Legion	Bend steel	XM	4			2	5			1										1			-1																									xmen3,jpg	9 7	Legion (XM)	Legion (XM)	""
X-Men	Legion	Bend light	XM	4			2	5		1										1													1																xmen3,jpg	9 7	Legion (XM)	Legion (XM)	""
X-Men	Legion	Channel time	XM	5			5	3				1										1																											xmen3,jpg	6 7	Legion (XM)	Legion (XM)	""
X-Men	Legion	Channel fire	XM	5			5	3					1						2		1																												xmen3,jpg	6 7	Legion (XM)	Legion (XM)	""
X-Men	Legion	Maelstrom of clash	XM				8	1		1											1																											Soaring Flight	xmen3,jpg	7 7	Legion (XM)	Legion (XM)	""
X-Men	Longshot	Fortune favors bold	XM				3	5				1									1			1																									xmen3,jpg	7 5	Longshot (XM)	Longshot (XM)	""
X-Men	Longshot	Flurry of blades	XM				4	5					1					1			1			-1																									xmen3,jpg	2 5	Longshot (XM)	Longshot (XM)	""
X-Men	Longshot	Make my own luck	XM				6	3		1					1						1			1														1											xmen3,jpg	4 5	Longshot (XM)	Longshot (XM)	""
X-Men	Longshot	Escape from Mojo	XM				7	1					1								1														1						1							Filter villain deck	xmen3,jpg	5 5	Longshot (XM)	Longshot (XM)	""
X-Men	Magik	Rally the new mutants	SW1				2	5		1					1																	1																	sw12,jpg	3 4	Magik (SW1)	Magik (SW1)	""
X-Men	Magik	Travel through limbo	SW1				3	5	1					1							1																											Teleport	sw12,jpg	5 4	Magik (SW1)	Magik (SW1)	""
X-Men	Magik	Dimensional portal	SW1				5	3	1	1											1											-1																Teleport	sw12,jpg	4 4	Magik (SW1)	Magik (SW1)	""
X-Men	Magik	Wield the soulsword	SW1				7	1		1											1																											Teleport	sw12,jpg	6 4	Magik (SW1)	Magik (SW1)	""
X-Men	Nightcrawler	Bamf!	DC				3	5				1								1																												Teleport	darkcity,jpg	3 4	Nightcrawler (DC)	Nightcrawler (DC)	""
X-Men	Nightcrawler	Blend into shadows	DC				4	5		1											1																											Teleport	darkcity,jpg	2 4	Nightcrawler (DC)	Nightcrawler (DC)	""
X-Men	Nightcrawler	Swashbuckler	DC				5	3				1			1		1				1																												darkcity,jpg	4 4	Nightcrawler (DC)	Nightcrawler (DC)	""
X-Men	Nightcrawler	Along for the ride	DC				7	1		1											1																											Teleport	darkcity,jpg	1 4	Nightcrawler (DC)	Nightcrawler (DC)	""
X-Men	Old Man Logan	Last survivor	SW1		Wolverine		3	5				1					1				1					-1												1											sw12,jpg	7 4	Old Man Logan (SW1)	Old Man Logan (SW1)	""
X-Men	Old Man Logan	Loner	SW1		Wolverine		5	5		1		1									1																											Hits more if you don't recruit	sw12,jpg	8 4	Old Man Logan (SW1)	Old Man Logan (SW1)	""
X-Men	Old Man Logan	Rage out	SW1		Wolverine		6	3				1					1				1					1																						Gets other players wounds	sw12,jpg	9 4	Old Man Logan (SW1)	Old Man Logan (SW1)	""
X-Men	Old Man Logan	No more heroes	SW1		Wolverine		7	1				1									1		-1															-1										have no shield at all	sw12,jpg	10 4	Old Man Logan (SW1)	Old Man Logan (SW1)	""
Spidermen	Spider-Man Noir	Webs of darkness	N				2	5	1					1							1																												noir,jpg	2 1	Spider-Man Noir (N)	Spider-Man Noir (N)	""
Spidermen	Spider-Man Noir	Gumshoe's Revolver	N				2	5					1								1	1		1					1																				noir,jpg	4 1	Spider-Man Noir (N)	Spider-Man Noir (N)	""
Spidermen	Spider-Man Noir	Solve the crime	N				2	3				1					1				1				1																								noir,jpg	3 1	Spider-Man Noir (N)	Spider-Man Noir (N)	""
Spidermen	Spider-Man Noir	Spidertotem's chosen	N				2	1			1										1			1					2						1														noir,jpg	1 1	Spider-Man Noir (N)	Spider-Man Noir (N)	""
Spidermen	Silk	Cascading maneuver	SW2				2	5			1	1							1		1	1		1																									sw22,jpg	6 6	Silk (SW2)	Silk (SW2)	""
Spidermen	Silk	Longrange spidersense	SW2				2	5	1										1		1	1							1																				sw22,jpg	5 6	Silk (SW2)	Silk (SW2)	""
Spidermen	Silk	Silk stalking	SW2				2	3		1											1	1							1						1			1											sw22,jpg	7 6	Silk (SW2)	Silk (SW2)	""
Spidermen	Silk	Borrowed cloak device	SW2				2	1					1						1		1			1					2																				sw22,jpg	8 6	Silk (SW2)	Silk (SW2)	""
Spidermen	Spider-Woman	Radioactive spider	PTT				2	5			1									1				1																									pttr,jpg	10 4	Spider-Woman (PTT)	Spider-Woman (PTT)	""
Spidermen	Spider-Woman	Bioelectric shock	PTT				4	5	1												1			-1																									pttr,jpg	7 4	Spider-Woman (PTT)	Spider-Woman (PTT)	""
Spidermen	Spider-Woman	Venom blast	PTT				6	3	1												1			-1																									pttr,jpg	9 4	Spider-Woman (PTT)	Spider-Woman (PTT)	""
Spidermen	Spider-Woman	Arachno pheromones	PTT				7	1		1														1											1													Free hero	pttr,jpg	8 4	Spider-Woman (PTT)	Spider-Woman (PTT)	""
Spidermen	Spider-Gwen	Fateful bridge	SW2				2	5				1	1								1	1					-1		1																				sw22,jpg	9 6	Spider-Gwen (SW2)	Spider-Gwen (SW2)	""
Spidermen	Spider-Gwen	Save the day	SW2				2	5					1								1				-1		-1																						sw22,jpg	10 6	Spider-Gwen (SW2)	Spider-Gwen (SW2)	""
Spidermen	Spider-Gwen	First adventure	SW2				2	3			1										1			1			-1																						sw22,jpg	1 7	Spider-Gwen (SW2)	Spider-Gwen (SW2)	""
Spidermen	Spider-Gwen	Intertwining webs	SW2				2	1		1											1			1					2																				sw22,jpg	2 7	Spider-Gwen (SW2)	Spider-Gwen (SW2)	""
Spidermen	Symbiote Spider-Man	Spider sense tingling	PTT				2	5				1										1							2																				pttr,jpg	6 4	Symbiote Spider-Man (PTT)	Symbiote Spider-Man (PTT)	""
Spidermen	Symbiote Spider-Man	Dark strength	PTT				2	5			1										1			-1					1																				pttr,jpg	3 4	Symbiote Spider-Man (PTT)	Symbiote Spider-Man (PTT)	""
Spidermen	Symbiote Spider-Man	Shadowed spider	PTT				2	3		1											1			1					2																				pttr,jpg	4 4	Symbiote Spider-Man (PTT)	Symbiote Spider-Man (PTT)	""
Spidermen	Symbiote Spider-Man	Thwip!	PTT				2	1	1												1			1																									pttr,jpg	5 4	Symbiote Spider-Man (PTT)	Symbiote Spider-Man (PTT)	""
Spidermen	Agent Venom	Multi-gun	SW2				2	5					1						1	1	1																												sw22,jpg	3 1	Agent Venom (SW2)	Agent Venom (SW2)	""
Spidermen	Agent Venom	Government payroll	SW2				3	5			1	1								1	1			1			-1																						sw22,jpg	4 1	Agent Venom (SW2)	Agent Venom (SW2)	""
Spidermen	Agent Venom	Big slimeportunity	SW2				6	3				1								1	1	1		1			-1																						sw22,jpg	5 1	Agent Venom (SW2)	Agent Venom (SW2)	""
